Fecha;Temporada;Club de origen;Club Comprador;Valor pagado;Valor Estimado;Déficit;Jugador
01-07-2025;25/26;KV Kortrijk;Blackburn;$750,000.00;$900,000.00;-16,67;Dion De Neve
01-07-2025;25/26;Moreirense;Blackburn;$2,000,000.00;$800,000.00;150;Sidnei Tavares
01-07-2025;25/26;Wolves;Man Utd;$74,200,000.00;$60,000,000.00;23,67;Matheus Cunha
01-07-2025;25/26;Leverkusen;Liverpool;$125,000,000.00;$140,000,000.00;-10,71;Florian Wirtz
01-07-2025;25/26;Nice;West Ham;$40,000,000.00;$25,000,000.00;60;Jean-Clair Todibo
01-07-2025;25/26;Roma;Sunderland;$23,750,000.00;$18,000,000.00;31,94;Enzo Le Fée
01-07-2025;25/26;Bournemouth;Liverpool;$46,900,000.00;$45,000,000.00;4,22;Milos Kerkez
01-07-2025;25/26;Flamengo;Everton;$15,000,000.00;$14,000,000.00;7,14;Carlos Alcaraz
01-07-2025;25/26;R. Strasbourg;Sunderland;$31,500,000.00;$20,000,000.00;57,5;Habib Diarra
01-07-2025;25/26;Kasimpasa;Aston Villa;$7,000,000.00;$7,500,000.00;-6,67;Yasin Özcan
01-07-2025;25/26;Independiente;Chelsea;$10,000,000.00;$10,000,000.00;0;Kendry Páez
01-07-2025;25/26;Celta de Vigo;Wolves;$23,000,000.00;$5,000,000.00;360;Fer López
10-06-2025;25/26;Chelsea;Man City;$2,400,000.00;$600,000.00;300;Marcus Bettinelli
10-06-2025;25/26;AC Milan;Man City;$54,900,000.00;$50,000,000.00;9,8;Tijjani Reijnders
10-06-2025;25/26;Lyon;Man City;$36,500,000.00;$45,000,000.00;-18,89;Rayan Cherki
10-06-2025;25/26;Sporting;Chelsea;$22,270,000.00;$20,000,000.00;11,35;Dário Essugo
09-06-2025;25/26;Wolves;Man City;$36,800,000.00;$35,000,000.00;5,14;Rayan Aït-Nouri
09-06-2025;25/26;R. Strasbourg;Chelsea;$14,000,000.00;$20,000,000.00;-30;Mamadou Sarr
04-06-2025;25/26;Ipswich;Chelsea;$35,500,000.00;$40,000,000.00;-11,25;Liam Delap
03-02-2025;24/25;Stade Reims;Wolves;$18,000,000.00;$10,000,000.00;80;Marshall Munetsi
03-02-2025;24/25;Porto;Man City;$60,000,000.00;$18,000,000.00;233,33;Nico González
03-02-2025;24/25;Randers FC;West Brom;$4,000,000.00;$500,000.00;700;Tammer Bany
03-02-2025;24/25;Red Star;Wolves;$12,000,000.00;$7,000,000.00;71,43;Nasser Djiga
03-02-2025;24/25;Saint-Étienne;Chelsea;$15,000,000.00;$5,000,000.00;200;Mathis Amougou
02-02-2025;24/25;Lecce;Man Utd;$30,000,000.00;$20,000,000.00;50;Patrick Dorgu
01-02-2025;24/25;Zenit S-Pb;Sunderland;$6,000,000.00;$4,000,000.00;50;Wilson Isidor
01-02-2025;24/25;Arsenal U21;Man Utd;$1,800,000.00;$300,000.00;500;Ayden Heaven
27-01-2025;24/25;Real Valladolid;Man City;$6,000,000.00;$1,000,000.00;500;Juma Bah
25-01-2025;24/25;Ipswich;Middlesbrough;$710,000.00;$350,000.00;102,86;George Edmundson
23-01-2025;24/25;Frankfurt;Man City;$75,000,000.00;$60,000,000.00;25;Omar Marmoush
22-01-2025;24/25;Standard Liège;West Brom;$3,000,000.00;$3,000,000.00;0;Isaac Price
21-01-2025;24/25;Palmeiras;Man City;$37,000,000.00;$14,000,000.00;164,29;Vitor Reis
21-01-2025;24/25;Levante;Aston Villa;$7,000,000.00;$1,200,000.00;483,33;Andrés García
20-01-2025;24/25;Lens;Man City;$40,000,000.00;$12,000,000.00;233,33;Abdukodir Khusanov
18-01-2025;24/25;Millwall;Crystal Palace;$14,200,000.00;$5,000,000.00;184;Romain Esse
15-01-2025;24/25;Parma;Leicester;$2,000,000.00;$2,000,000.00;0;Woyo Coulibaly
14-01-2025;24/25;Dortmund;Aston Villa;$25,000,000.00;$28,000,000.00;-10,71;Donyell Malen
09-01-2025;24/25;Stade Reims;Wolves;$20,000,000.00;$10,000,000.00;100;Emmanuel Agbadou
09-01-2025;24/25;Valenciennes FC;Southampton;$5,000,000.00;$800,000.00;525;Joachim Kayi Sanda
30-08-2024;24/25;Crystal Palace;Wolves;$11,900,000.00;$10,000,000.00;19;Sam Johnstone
30-08-2024;24/25;Celtic;West Brom;$3,500,000.00;$3,000,000.00;16,67;Mikey Johnston
30-08-2024;24/25;Arsenal;Crystal Palace;$29,700,000.00;$30,000,000.00;-1;Eddie Nketiah
30-08-2024;24/25;Fehérvár;Blackburn;$1,200,000.00;$700,000.00;71,43;Balázs Tóth
30-08-2024;24/25;Arsenal;Southampton;$21,400,000.00;$25,000,000.00;-14,4;Aaron Ramsdale
30-08-2024;24/25;Wolfsburg;Crystal Palace;$18,000,000.00;$20,000,000.00;-10;Maxence Lacroix
30-08-2024;24/25;PSG;Man Utd;$50,000,000.00;$45,000,000.00;11,11;Manuel Ugarte
30-08-2024;24/25;Fluminense;Wolves;$22,000,000.00;$25,000,000.00;-12;André
30-08-2024;24/25;Radnicki 1923;Sunderland;$3,500,000.00;$700,000.00;400;Milan Aleksic
29-08-2024;24/25;Juventus;Liverpool;$12,000,000.00;$35,000,000.00;-65,71;Federico Chiesa
29-08-2024;24/25;Genk;Leicester;$22,500,000.00;$30,000,000.00;-25;Bilal El Khannouss
27-08-2024;24/25;Real Sociedad;Arsenal;$32,000,000.00;$50,000,000.00;-36;Mikel Merino
27-08-2024;24/25;Valencia;Liverpool;$30,000,000.00;$45,000,000.00;-33,33;Giorgi Mamardashvili
27-08-2024;24/25;Genk;Chelsea;$20,000,000.00;$1,000,000.00;1900;Mike Penders
24-08-2024;24/25;Barnsley;West Brom;$600,000.00;$2,500,000.00;-76;Callum Styles
23-08-2024;24/25;Crystal Palace;Leicester;$5,900,000.00;$4,000,000.00;47,5;Jordan Ayew
23-08-2024;24/25;Crystal Palace;Fulham;$29,500,000.00;$35,000,000.00;-15,71;Joachim Andersen
22-08-2024;24/25;Burnley;Fulham;$23,550,000.00;$20,000,000.00;17,75;Sander Berge
21-08-2024;24/25;Atlético;Chelsea;$52,000,000.00;$30,000,000.00;73,33;João Félix
20-08-2024;24/25;Sporting;Southampton;$15,000,000.00;$8,000,000.00;87,5;Mateus Fernandes
19-08-2024;24/25;Tottenham;Leicester;$23,500,000.00;$15,000,000.00;56,67;Oliver Skipp
16-08-2024;24/25;Aston Villa;Southampton;$17,600,000.00;$13,000,000.00;35,38;Cameron Archer
16-08-2024;24/25;Bristol City;Middlesbrough;$5,300,000.00;$4,000,000.00;32,5;Tommy Conway
15-08-2024;24/25;São Paulo;Southampton;$900,000.00;$800,000.00;12,5;Juan
13-08-2024;24/25;Bayern Munich;Man Utd;$45,000,000.00;$65,000,000.00;-30,77;Matthijs de Ligt
13-08-2024;24/25;Bayern Munich;Man Utd;$15,000,000.00;$30,000,000.00;-50;Noussair Mazraoui
13-08-2024;24/25;Man Utd;West Ham;$17,600,000.00;$20,000,000.00;-12;Aaron Wan-Bissaka
12-08-2024;24/25;Celtic B;Stoke City;$2,340,000.00;$300,000.00;680;Bosun Lawal
11-08-2024;24/25;Wolves;Chelsea;$60,000,000.00;$55,000,000.00;9,09;Pedro Neto
08-08-2024;24/25;Sheff Utd;Newcastle;$11,600,000.00;$3,000,000.00;286,67;William Osula
08-08-2024;24/25;Boca Juniors;Chelsea;$16,500,000.00;$3,000,000.00;450;Aarón Anselmino
05-08-2024;24/25;Dortmund;West Ham;$27,000,000.00;$15,000,000.00;80;Niclas Füllkrug
03-08-2024;24/25;Leeds;West Ham;$29,300,000.00;$20,000,000.00;46,5;Crysencio Summerville
03-08-2024;24/25;Villarreal;Fulham;$6,700,000.00;$6,000,000.00;11,67;Jorge Cuenca
02-08-2024;24/25;Arsenal;Fulham;$31,800,000.00;$22,000,000.00;44,55;Emile Smith Rowe
01-08-2024;24/25;Marseille;Crystal Palace;$15,000,000.00;$18,000,000.00;-16,67;Ismaïla Sarr
30-07-2024;24/25;Villarreal;Southampton;$8,300,000.00;$8,000,000.00;3,75;Ben Brereton Díaz
