Fecha;Temporada;Club de origen_1;Club comprador_2;Valor pagado;Valor estimado;Deficit;Jugador
07-07-2023;23/24;Central Coast;Middlesbrough;585000;300000;95;Sam Silvera
05-07-2023;23/24;Chelsea;Man Utd;67700000;60000000;13;Mason Mount
03-07-2023;23/24;AC Milan;Newcastle;60800000;50000000;22;Sandro Tonali
02-07-2023;23/24;Leipzig;Liverpool;70000000;50000000;40;Dominik Szoboszlai
01-07-2023;23/24;Chelsea;Man City;29100000;38000000;-23;Mateo Kovacic
01-07-2023;23/24;Wolves;Leicester;8700000;12000000;-28;Conor Coady
01-07-2023;23/24;Tottenham;Leicester;11600000;10000000;16;Harry Winks
01-07-2023;23/24;Chelsea;Arsenal;75000000;55000000;36;Kai Havertz
01-07-2023;23/24;Leipzig;Chelsea;60000000;80000000;-25;Christopher Nkunku
01-07-2023;23/24;Atlético;Wolves;50000000;25000000;100;Matheus Cunha
01-07-2023;23/24;Brighton;Liverpool;42000000;65000000;-35;Alexis Mac Allister
01-07-2023;23/24;PSV U21;Sunderland;2000000;600000;233;Jenson Seelt
01-07-2023;23/24;FC Metz;Wolves;11000000;5000000;120;Boubacar Traoré
01-07-2023;23/24;Villarreal;Chelsea;37000000;30000000;23;Nicolas Jackson
01-07-2023;23/24;Birmingham;Sunderland;1750000;5000000;-65;Jobe Bellingham
01-07-2023;23/24;Benfica B;Sunderland;500000;600000;-17;Luís Semedo
01-07-2023;23/24;Central Coast;Sunderland;350000;250000;40;Nectarios Triantis
01-07-2023;23/24;Odense BK;Newcastle;8000000;2000000;300;Yankuba Minteh
31-01-2023;22/23;Chelsea;Arsenal;11300000;35000000;-68;Jorginho
31-01-2023;22/23;Torino;Fulham;9800000;13000000;-25;Saša Lukić
31-01-2023;22/23;Genk;Southampton;18000000;15000000;20;Paul Onuachu
31-01-2023;22/23;Stoke City;Leicester;17000000;6000000;183;Harry Souttar
31-01-2023;22/23;Stuttgart;Crystal Palace;12000000;5500000;118;Naouirou Ahamada
31-01-2023;22/23;Benfica;Chelsea;121000000;55000000;120;Enzo Fernández
31-01-2023;22/23;Stade Rennais;Southampton;25000000;18000000;39;Kamaldeen Sulemana
30-01-2023;22/23;Flamengo;Wolves;18700000;15000000;25;João Gomes
29-01-2023;22/23;Rotherham;Middlesbrough;1030000;2000000;-49;Dan Barlaser
29-01-2023;22/23;Everton;Newcastle;45600000;40000000;14;Anthony Gordon
29-01-2023;22/23;Lyon;Chelsea;30000000;15000000;100;Malo Gusto
26-01-2023;22/23;Luton;Southampton;850000;3000000;-72;James Bree
25-01-2023;22/23;Bristol City;Wolves;57000;1800000;-97;Daniel Bentley
23-01-2023;22/23;Spezia Calcio;Arsenal;19500000;8000000;144;Jakub Kiwior
23-01-2023;22/23;Chicago;Aston Villa;29500000;6000000;392;Jhon Durán
23-01-2023;22/23;Vélez Sarsfield;Man City;11000000;8500000;29;Máximo Perrone
22-01-2023;22/23;West Ham;Wolves;3750000;2500000;50;Craig Dawson
20-01-2023;22/23;Aston Villa;West Ham;12000000;16000000;-25;Danny Ings
20-01-2023;22/23;Brighton;Arsenal;24000000;30000000;-20;Leandro Trossard
20-01-2023;22/23;PSV;Chelsea;35000000;15000000;133;Noni Madueke
20-01-2023;22/23;Copenhagen;Leicester;14000000;4000000;250;Victor Kristiansen
17-01-2023;22/23;PSG;Wolves;5000000;20000000;-75;Pablo Sarabia
15-01-2023;22/23;Shakhtar D.;Chelsea;70000000;40000000;75;Mykhaylo Mudryk
13-01-2023;22/23;Nice;Wolves;11000000;7000000;57;Mario Lemina
11-01-2023;22/23;Real Betis;Aston Villa;13500000;20000000;-33;Álex Moreno
11-01-2023;22/23;Racing Club;Southampton;13650000;8500000;61;Carlos Alcaraz
06-01-2023;22/23;Dinamo Zagreb;Southampton;5750000;10000000;-43;Mislav Orsic
05-01-2023;22/23;Monaco;Chelsea;38000000;40000000;-5;Benoît Badiashile
01-01-2023;22/23;PSV;Liverpool;42000000;60000000;-30;Cody Gakpo
01-01-2023;22/23;Vasco da Gama;Chelsea;12500000;10000000;25;Andrey Santos
