player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,premium_discount_pct,player_name
1011738,2026-06-30,25/26,1123,985,Norwich,Man Utd,$0.00,"$5,000,000.00",-100.00%,Harry Amass
1064471,2026-06-30,25/26,940,543,Celta de Vigo,Wolves,$0.00,"$16,000,000.00",-100.00%,Fer López
1121298,2026-06-30,25/26,417,281,Nice,Man City,$0.00,"$10,000,000.00",-100.00%,Juma Bah
1145504,2026-06-30,25/26,667,631,R. Strasbourg,Chelsea,$0.00,"$10,000,000.00",-100.00%,Aarón Anselmino
250478,2026-05-31,25/26,641,762,Middlesbrough,Newcastle,$0.00,"$3,000,000.00",-100.00%,Matt Targett
256773,2026-05-31,25/26,903,641,Hibernian FC,Middlesbrough,$0.00,"$1,200,000.00",-100.00%,Dan Barlaser
426192,2026-05-31,25/26,22,180,Derby,Southampton,$0.00,"$5,000,000.00",-100.00%,Ben Brereton Díaz
433183,2026-05-31,25/26,337,543,Birmingham,Wolves,$0.00,"$7,000,000.00",-100.00%,Tommy Doyle
468198,2026-05-31,25/26,1003,180,Leicester,Southampton,$0.00,"$1,800,000.00",-100.00%,Joe Aribo
485583,2026-05-31,25/26,350,543,Sheff Utd,Wolves,$0.00,"$3,500,000.00",-100.00%,Ki-Jana Hoever
559130,2026-05-31,25/26,1027,762,Bradford,Newcastle,$0.00,"$1,200,000.00",-100.00%,Harrison Ashby
585550,2026-05-31,25/26,512,180,Stoke City,Southampton,$0.00,"$8,000,000.00",-100.00%,Gavin Bazunu
586834,2026-05-31,25/26,512,873,Stoke City,Crystal Palace,$0.00,"$6,000,000.00",-100.00%,Jesurun Rak-Sakyi
614811,2026-05-31,25/26,1027,762,Bradford,Newcastle,$0.00,"$200,000.00",-100.00%,Joe White
663225,2026-05-31,25/26,1098,29,Stockport,Everton,$0.00,"$350,000.00",-100.00%,Tyler Onyango
724783,2026-05-31,25/26,349,543,Barnsley,Wolves,$0.00,"$450,000.00",-100.00%,Tawanda Chirewa
817612,2026-05-31,25/26,2805,931,Wycombe,Fulham,$0.00,"$900,000.00",-100.00%,Luke Harris
